aX,aY,aZ,gX,gY,gZ
-0.019,1.012,-0.025,0.560,-4.970,-9.380
-0.026,1.013,-0.021,0.560,-4.830,-9.380
-0.024,1.019,-0.020,0.700,-4.690,-9.310
-0.024,1.025,-0.018,0.630,-4.550,-8.890
-0.033,1.031,-0.021,0.350,-4.480,-8.470
-0.039,1.031,-0.020,-0.070,-4.340,-7.840
-0.041,1.032,-0.017,-0.280,-4.340,-7.280
-0.042,1.034,-0.021,-0.630,-4.130,-6.860
-0.043,1.030,-0.020,-0.840,-3.920,-6.090
-0.047,1.028,-0.018,-1.260,-3.920,-5.670
-0.051,1.028,-0.018,-1.470,-3.710,-5.250
-0.052,1.028,-0.013,-1.330,-3.500,-4.690
-0.051,1.027,-0.019,-1.540,-3.360,-4.270
-0.055,1.025,-0.020,-1.680,-3.010,-4.060
-0.055,1.025,-0.015,-1.750,-2.520,-3.570
-0.054,1.028,-0.014,-2.380,-2.450,-3.290
-0.056,1.029,-0.014,-2.170,-2.170,-2.730
-0.059,1.026,-0.009,-2.030,-2.100,-2.310
-0.060,1.021,-0.009,-1.470,-2.100,-1.540
-0.064,1.021,-0.005,-1.260,-2.240,-1.260
-0.066,1.021,-0.007,-0.910,-2.240,-0.770
-0.061,1.022,-0.006,-0.490,-2.310,-0.560
-0.063,1.023,-0.009,-0.420,-2.240,0.000
-0.563,0.919,-0.064,14.770,-12.040,-182.140
-0.623,0.967,-0.051,11.480,-12.040,-168.420
-0.681,0.989,-0.052,10.150,-12.180,-155.540
-0.764,1.008,-0.065,9.870,-11.970,-141.330
-0.830,1.020,-0.083,9.030,-11.340,-121.870
-0.874,1.029,-0.097,6.580,-10.150,-108.010
-0.902,1.029,-0.106,4.130,-8.260,-95.060
-0.921,1.014,-0.111,1.050,-5.180,-83.160
-0.937,0.978,-0.105,-1.400,-2.940,-72.100
-0.953,0.932,-0.093,-3.570,-0.770,-58.730
-0.971,0.910,-0.087,-3.850,1.610,-49.280
-0.986,0.895,-0.082,-3.220,3.430,-39.620
-0.988,0.881,-0.082,-1.890,4.830,-26.810
-0.986,0.878,-0.075,-0.980,5.810,-17.150
-0.983,0.872,-0.068,-0.350,6.440,-7.980
-0.970,0.859,-0.072,0.070,6.580,3.640
-0.955,0.851,-0.069,0.420,6.370,12.180
-0.938,0.849,-0.069,0.630,5.950,21.000
