aX,aY,aZ,gX,gY,gZ
0.039,1.087,0.450,-5.460,-27.650,28.000
0.047,1.060,0.244,-3.010,-21.630,31.710
0.068,1.057,0.228,3.780,-17.360,37.520
0.089,0.987,0.299,15.540,-15.260,39.340
0.114,0.925,0.425,23.590,-16.730,38.430
0.124,0.851,0.481,28.490,-19.390,34.930
0.115,0.790,0.465,29.470,-21.840,29.400
0.109,0.749,0.464,28.770,-23.030,22.330
0.102,0.738,0.498,30.170,-25.830,13.230
0.097,0.749,0.556,30.940,-30.450,6.720
0.086,0.677,0.613,30.450,-36.260,-2.380
0.085,0.653,0.679,28.560,-46.900,-11.830
0.065,0.651,0.724,25.480,-55.930,-20.650
0.046,0.689,0.783,21.350,-67.200,-27.930
0.043,0.723,0.827,24.920,-81.200,-37.100
0.031,0.733,0.803,33.460,-96.320,-43.470
-0.006,0.733,0.779,39.410,-115.010,-50.330
-0.020,0.775,0.853,45.850,-132.580,-55.440
-0.032,0.787,0.884,55.580,-153.650,-63.210
-0.050,0.783,0.803,50.610,-168.910,-70.420
-0.078,0.814,0.832,39.410,-190.470,-76.860
-0.110,0.906,0.819,27.860,-206.360,-78.680
-0.138,1.095,0.745,4.550,-221.550,-74.410
-0.151,1.114,0.635,-18.410,-231.000,-72.520
-0.128,1.076,0.433,-33.250,-236.040,-75.320
-0.136,1.028,0.201,-34.370,-229.880,-75.880
-0.134,1.188,-0.026,-39.830,-220.780,-67.410
-0.110,1.147,-0.259,-39.900,-195.160,-61.810
-0.024,1.094,-0.268,-23.870,-179.690,-56.700
0.009,1.060,-0.206,0.210,-166.600,-48.930
0.044,1.041,-0.042,26.740,-159.110,-44.870
0.075,0.976,0.087,43.120,-155.330,-43.610
0.059,1.003,0.214,46.130,-159.530,-40.600
0.048,0.945,0.205,36.890,-156.870,-41.090
0.048,0.991,0.312,23.380,-158.340,-36.330
0.033,1.038,0.336,0.630,-158.900,-33.600
0.038,1.037,0.295,-7.280,-157.360,-30.380
0.024,1.099,0.138,-11.130,-155.820,-22.750
0.030,1.135,0.025,-15.260,-145.460,-17.430
0.056,1.044,-0.195,-10.500,-126.770,-15.050
0.068,1.017,-0.318,-3.780,-106.750,-12.740
0.114,0.998,-0.301,8.050,-81.760,-11.690
0.120,0.976,-0.176,21.210,-70.560,-10.430
0.141,0.920,-0.062,33.530,-62.370,-14.140
0.153,0.874,0.030,34.370,-55.580,-17.570
0.113,0.886,0.217,28.140,-57.820,-20.090
0.115,0.882,0.347,19.880,-64.050,-22.610
0.112,0.853,0.464,17.570,-71.400,-25.970
0.084,0.932,0.530,15.890,-82.180,-24.430
0.087,0.894,0.543,19.600,-90.300,-25.480
0.095,0.893,0.427,22.750,-95.620,-25.340
0.081,0.899,0.345,22.400,-97.230,-25.970
0.081,0.909,0.226,22.470,-95.410,-26.460
0.085,0.889,0.003,21.490,-86.800,-29.680
0.109,0.915,-0.177,21.140,-71.820,-31.500
0.120,0.958,-0.278,22.330,-50.540,-32.200
0.139,1.032,-0.297,23.100,-34.930,-30.100
0.143,1.115,-0.253,21.560,-21.350,-24.430
0.123,1.078,-0.107,22.400,-13.370,-22.540
0.118,1.065,0.053,23.450,-9.660,-20.090
0.114,1.076,0.124,21.560,-8.190,-18.060
0.106,1.058,0.224,0.770,-8.960,-14.910
0.079,1.078,0.366,13.930,-15.890,-11.620
0.077,1.017,0.388,12.390,-20.720,-10.850
0.071,1.001,0.411,12.810,-27.790,-9.660
0.057,0.993,0.413,13.860,-32.480,-9.380
0.066,0.983,0.378,17.360,-36.120,-9.520
0.063,0.972,0.312,18.200,-37.660,-11.340
0.072,0.974,0.225,20.580,-36.400,-12.670
0.075,0.937,0.099,21.000,-30.450,-16.030
0.088,0.966,0.034,21.350,-24.150,-17.570
0.087,1.022,-0.011,18.830,-18.970,-17.360
0.093,1.098,-0.017,15.330,-15.400,-13.510
0.102,1.164,-0.027,9.520,-11.130,-8.330
0.104,1.158,-0.016,3.500,-4.760,-3.430
0.097,1.098,0.040,-0.490,-1.820,-1.260
0.088,1.055,0.113,-5.320,-1.400,1.050
0.084,1.019,0.152,-9.100,-1.820,0.980
0.084,1.002,0.179,-10.500,-1.960,0.770
0.082,1.007,0.233,-11.130,-3.500,0.770
0.085,0.983,0.223,-8.050,-3.850,-0.630
0.087,0.988,0.206,-5.740,-3.500,-1.540
0.074,0.973,0.225,-1.820,-4.270,-2.870
0.077,0.978,0.225,2.170,-5.320,-3.990
0.084,1.015,0.205,5.110,-6.510,-4.200
0.089,1.060,0.201,5.250,-6.860,-3.570
0.082,1.060,0.217,4.130,-8.190,-2.800
0.083,1.051,0.193,3.360,-8.820,-2.100
0.160,1.308,-1.118,-33.390,162.680,54.740
0.115,1.393,-0.975,-34.650,202.160,71.190
0.043,1.439,-0.916,-25.550,237.090,96.180
-0.031,1.520,-0.837,-10.500,271.110,119.700
-0.097,1.570,-0.726,6.300,311.010,143.850
-0.207,1.540,-0.495,23.100,333.550,167.790
-0.306,1.541,-0.226,31.080,343.840,189.840
-0.353,1.421,0.029,17.570,346.010,207.480
-0.401,0.875,0.237,-17.570,339.780,194.740
-0.404,0.496,0.325,-47.950,336.280,172.550
-0.369,0.310,0.456,-75.180,326.060,146.580
-0.312,0.122,0.541,-85.610,315.140,117.250
-0.282,0.183,0.858,-79.310,288.540,87.010
-0.194,0.227,0.957,-69.650,258.160,65.940
-0.088,0.411,0.818,-53.410,240.240,53.340
-0.020,0.591,0.926,-43.050,211.400,45.500
0.028,0.714,1.038,-30.450,187.530,42.350
0.084,0.770,1.046,-13.580,160.860,38.500
0.067,0.991,1.124,-9.590,134.820,41.510
0.084,1.119,1.114,-8.120,112.000,49.770
0.112,1.094,1.019,-6.440,84.700,53.270
0.138,1.014,0.959,-2.940,68.600,53.690
0.131,0.957,0.823,-1.050,56.350,50.750
0.149,0.846,0.658,4.270,50.820,41.020
0.155,0.794,0.611,5.530,45.780,32.480
0.169,0.750,0.611,5.600,40.950,22.470
0.184,0.769,0.653,3.080,33.950,14.280
0.191,0.813,0.691,-1.680,21.980,7.910
0.211,0.794,0.738,-3.150,12.180,1.470
0.211,0.798,0.782,-2.170,0.490,-4.060
0.205,0.731,0.757,5.250,-10.500,-13.860
0.199,0.719,0.752,12.110,-21.210,-20.790
0.189,0.707,0.691,17.850,-33.320,-28.140
0.185,0.693,0.624,21.560,-38.990,-35.490
0.172,0.693,0.628,22.750,-46.060,-45.780
0.165,0.716,0.685,25.200,-55.510,-52.150
0.155,0.744,0.711,26.320,-66.220,-59.290
0.151,0.709,0.613,30.240,-74.690,-67.480
0.123,0.769,0.538,34.370,-80.780,-72.730
0.108,0.847,0.457,36.960,-85.260,-74.130
0.106,0.939,0.436,32.410,-87.990,-73.220
0.114,0.914,0.503,29.190,-93.100,-75.810
0.121,0.901,0.570,31.640,-103.530,-77.560
0.094,1.028,0.563,25.970,-113.190,-74.620
0.075,1.008,0.490,7.630,-116.970,-74.900
0.070,0.992,0.570,-3.780,-123.410,-75.950
0.063,0.966,0.662,-7.420,-134.680,-78.260
0.036,0.874,0.634,-4.130,-148.190,-83.860
0.000,0.890,0.610,2.380,-157.290,-86.100
-0.015,0.776,0.495,11.480,-162.960,-95.410
-0.026,0.828,0.355,11.830,-162.120,-99.050
-0.036,0.883,0.285,8.190,-157.850,-101.360
-0.037,0.953,0.232,2.240,-154.560,-100.940
-0.025,1.037,0.265,-4.270,-153.720,-94.220
-0.023,1.171,0.299,-6.300,-155.610,-85.050
