aX,aY,aZ,gX,gY,gZ
0.819,-0.454,0.281,24.570,45.430,-18.620
0.852,-0.464,0.416,11.830,28.560,-37.100
0.912,-0.304,0.411,-7.000,10.150,-49.420
0.940,-0.219,0.339,-26.460,1.400,-59.920
0.961,-0.246,0.312,-45.500,-6.720,-73.430
0.978,-0.246,0.247,-54.180,-14.070,-83.580
0.964,-0.237,0.071,-67.130,-14.000,-95.410
0.958,-0.247,-0.026,-80.920,-9.800,-112.910
0.956,-0.239,-0.146,-94.430,-3.570,-125.160
0.947,-0.217,-0.341,-94.150,11.410,-136.710
0.930,-0.205,-0.435,-91.490,25.410,-152.390
0.899,-0.212,-0.518,-89.390,42.070,-165.550
0.857,-0.232,-0.598,-86.030,67.830,-179.200
0.806,-0.220,-0.589,-84.350,86.660,-193.200
0.763,-0.186,-0.617,-64.120,105.210,-209.790
0.755,0.055,-0.552,-35.140,123.060,-214.060
0.728,0.204,-0.315,-12.040,126.700,-217.980
0.703,0.240,-0.136,-5.810,124.250,-227.710
0.680,0.207,-0.065,-5.880,121.450,-237.720
0.647,0.105,-0.017,-1.260,118.650,-252.700
0.607,0.096,-0.018,7.490,119.630,-264.600
0.570,0.121,-0.036,17.570,124.880,-274.820
0.525,0.166,0.065,21.980,128.940,-289.660
0.461,0.222,0.218,4.620,127.260,-304.360
0.416,0.393,0.286,-19.320,126.210,-311.850
0.501,0.901,0.315,-40.250,127.750,-296.870
0.589,1.400,0.247,-70.630,132.020,-265.790
0.658,1.525,0.245,-107.100,132.930,-230.580
0.690,1.393,0.245,-84.770,127.750,-210.350
0.723,1.266,0.219,-65.170,122.920,-194.040
0.748,1.300,0.225,-42.700,117.320,-176.610
0.712,1.325,0.326,-37.450,111.650,-159.880
0.680,1.176,0.360,-44.730,110.530,-146.370
0.664,1.020,0.470,-50.610,106.820,-137.340
0.585,0.805,0.602,-57.120,96.390,-136.710
0.524,0.618,0.717,-60.900,84.420,-140.210
0.488,0.504,0.730,-55.020,72.310,-145.530
0.461,0.493,0.765,-45.360,59.010,-148.960
