aX,aY,aZ,gX,gY,gZ
0.431,0.646,0.080,-5.950,-3.150,133.280
0.534,0.652,0.077,-5.110,-3.220,117.600
0.599,0.649,0.057,-5.110,-2.660,102.130
0.641,0.644,0.047,-6.370,-1.960,82.810
0.673,0.646,0.045,-8.400,-1.470,69.720
0.699,0.651,0.051,-10.010,-1.190,57.680
0.731,0.642,0.066,-10.640,-1.330,46.060
0.737,0.617,0.070,-9.870,-1.400,34.860
0.737,0.589,0.069,-7.980,-1.680,20.720
0.733,0.569,0.072,-6.440,-2.310,10.500
0.738,0.577,0.076,-4.410,-3.010,0.420
0.754,0.599,0.085,-2.730,-3.220,-9.100
0.762,0.619,0.080,-1.540,-3.290,-17.780
0.767,0.642,0.075,-0.980,-3.220,-27.720
0.762,0.667,0.072,-0.770,-3.080,-34.650
0.759,0.671,0.069,-0.560,-2.590,-40.950
0.751,0.679,0.066,0.140,-2.240,-46.900
0.748,0.685,0.064,0.770,-2.030,-54.530
0.738,0.705,0.066,1.890,-1.190,-59.570
0.730,0.721,0.061,2.380,-0.700,-64.330
0.713,0.736,0.060,2.730,-0.070,-68.880
0.698,0.755,0.058,3.080,0.630,-73.430
0.687,0.765,0.061,2.800,1.190,-77.350
0.667,0.779,0.063,2.730,1.750,-82.810
0.637,0.787,0.062,2.870,2.100,-86.660
0.609,0.790,0.063,3.080,2.380,-90.160
0.575,0.795,0.071,3.990,2.730,-93.660
0.549,0.797,0.069,5.110,2.450,-97.440
0.529,0.800,0.074,6.370,1.960,-100.800
0.507,0.819,0.080,8.260,1.680,-104.930
0.490,0.835,0.082,9.940,1.050,-107.870
0.468,0.845,0.080,11.620,0.420,-110.180
0.431,0.859,0.082,13.090,-1.120,-112.140
0.410,0.875,0.081,14.490,-2.030,-113.610
0.393,0.881,0.078,15.750,-3.150,-115.850
0.372,0.880,0.073,17.430,-4.270,-117.600
0.350,0.880,0.064,18.620,-5.250,-119.630
0.318,0.883,0.061,20.020,-6.580,-121.870
0.293,0.891,0.057,21.140,-7.490,-124.460
0.262,0.901,0.050,22.470,-8.260,-127.680
0.233,0.920,0.043,22.960,-9.030,-130.200
0.203,0.940,0.034,22.750,-9.660,-132.370
0.167,0.958,0.026,22.190,-10.430,-134.190
0.143,0.972,0.020,21.280,-10.850,-135.870
0.115,0.973,0.014,20.230,-11.130,-137.340
0.084,0.976,0.008,18.830,-11.340,-137.970
0.061,0.988,0.001,17.640,-11.410,-138.110
0.026,1.003,-0.009,16.450,-10.990,-137.340
0.000,1.013,-0.011,15.190,-10.850,-135.450
-0.028,1.039,-0.021,12.950,-10.850,-133.210
-0.048,1.052,-0.028,11.130,-10.220,-129.850
-0.089,1.053,-0.041,9.310,-9.940,-125.930
-0.122,1.053,-0.037,7.770,-10.010,-120.050
-0.150,1.052,-0.036,7.490,-10.150,-115.220
-0.180,1.056,-0.041,7.490,-10.290,-109.900
-0.223,1.059,-0.040,7.420,-10.430,-104.720
-0.251,1.061,-0.044,6.930,-10.570,-97.580
-0.273,1.073,-0.045,6.650,-11.200,-92.470
-0.295,1.082,-0.040,6.720,-11.830,-86.940
-0.319,1.089,-0.036,6.650,-12.530,-81.620
-0.327,1.096,-0.039,6.720,-13.020,-74.060
-0.337,1.093,-0.038,6.720,-13.440,-68.670
-0.338,1.079,-0.039,6.440,-13.930,-63.560
-0.339,1.068,-0.037,6.650,-14.070,-58.730
-0.341,1.060,-0.035,6.930,-14.210,-52.430
-0.343,1.069,-0.036,7.280,-14.140,-47.880
-0.350,1.076,-0.042,7.000,-13.720,-42.910
-0.358,1.087,-0.052,6.370,-13.510,-38.080
-0.353,1.108,-0.051,4.830,-12.740,-31.080
-0.347,1.113,-0.053,3.570,-11.970,-26.250
-0.346,1.105,-0.054,2.800,-10.710,-21.770
-0.343,1.097,-0.058,1.960,-9.590,-17.570
-0.336,1.075,-0.054,1.330,-8.750,-12.880
-0.329,1.062,-0.050,1.190,-7.420,-9.940
-0.312,1.054,-0.044,1.260,-6.510,-7.140
-0.300,1.051,-0.043,1.120,-5.600,-3.780
-0.299,1.046,-0.045,0.770,-4.830,-1.260
-0.288,1.037,-0.041,0.490,-4.130,0.700
-0.268,1.025,-0.035,0.280,-3.500,2.940
-0.259,1.017,-0.032,0.140,-3.360,4.200
-0.253,1.009,-0.029,0.210,-3.150,5.320
-0.237,1.001,-0.031,0.350,-3.010,6.370
-0.226,1.002,-0.023,0.140,-3.150,6.790
-0.218,0.996,-0.022,-0.070,-3.010,6.860
-0.206,0.993,-0.015,-0.140,-3.010,6.580
-0.196,1.001,-0.008,-0.280,-2.870,6.580
-0.193,1.007,-0.011,-0.280,-2.870,6.790
-0.192,1.015,-0.009,-0.700,-2.940,7.070
-0.184,1.020,-0.010,-1.260,-2.870,7.350
-0.169,1.014,-0.015,-1.680,-2.800,7.560
-0.160,1.014,-0.014,-2.030,-2.660,8.120
-0.148,1.032,-0.017,-1.960,-2.590,8.960
-0.138,1.044,-0.022,-1.470,-1.610,10.570
-0.146,1.021,-0.020,-1.470,-0.770,11.480
-0.141,0.986,-0.018,-1.680,-0.140,11.060
-0.333,1.140,-0.034,-8.960,7.490,66.710
-0.334,1.157,-0.034,-9.170,8.260,75.180
-0.331,1.176,-0.034,-9.870,9.240,84.280
-0.327,1.195,-0.035,-10.710,9.800,94.010
-0.323,1.226,-0.028,-12.320,10.500,108.360
-0.315,1.231,-0.026,-13.510,10.990,119.420
